Frame,time,spm_rot_x,spm_rot_y,spm_rot_z,spm_pos_x,spm_pos_y,spm_pos_z,cf_rot_x,cf_rot_y,cf_rot_z,cf_pos_x,cf_pos_y,cf_pos_z
76,1.266667,-0.286533,42.810287,-0.115650,141.088913,47.187645,105.848846,175.737610,83.583031,-176.729431,137.563461,7.859495,258.000458
77,1.283333,-0.282785,42.813972,-0.117012,141.088852,47.187378,105.848816,175.736649,83.581657,-176.730606,137.553787,7.853436,258.010559
78,1.300000,-0.282405,42.812805,-0.119306,141.088409,47.187447,105.848602,175.731796,83.582275,-176.725433,137.568802,7.898223,257.975952
79,1.316667,-0.288282,42.814301,-0.117626,141.088730,47.187870,105.848145,175.730911,83.581543,-176.726517,137.564392,7.860166,257.999817
80,1.333333,-0.282014,42.812420,-0.116285,141.088806,47.186939,105.848694,175.734146,83.581764,-176.730072,137.568481,7.900631,257.974518
81,1.350000,-0.286705,42.812187,-0.119615,141.088287,47.188057,105.849548,175.730759,83.582123,-176.726303,137.568542,7.898855,257.975616
82,1.366667,-0.287395,42.814579,-0.117503,141.088181,47.187489,105.847908,175.727737,83.581352,-176.724854,137.563507,7.861140,257.999603
83,1.383333,-0.278909,42.811775,-0.118053,141.089264,47.185909,105.848457,175.724594,83.581856,-176.722137,137.569122,7.899451,257.975830
84,1.400000,-0.294287,42.811710,-0.111713,141.088943,47.187210,105.848824,175.724854,83.582016,-176.723083,137.569397,7.898903,257.975769
85,1.416667,-0.287256,42.808887,-0.115637,141.087997,47.188370,105.847572,175.725113,83.581131,-176.725006,137.563248,7.859839,258.000031
86,1.433333,-0.279057,42.813023,-0.119616,141.088684,47.186844,105.849503,175.725113,83.581131,-176.725006,137.563248,7.859839,258.000031
87,1.450000,-0.288297,42.812653,-0.116984,141.088272,47.187527,105.848694,175.714203,83.581985,-176.714569,137.568069,7.900417,257.975372
88,1.466667,-0.279288,42.815445,-0.116445,141.086853,47.187187,105.847908,175.713715,83.581062,-176.715714,137.564316,7.858638,258.000366
89,1.483333,-0.280716,42.806828,-0.117580,141.089371,47.186451,105.848267,175.713715,83.581062,-176.715714,137.564316,7.858638,258.000366
90,1.500000,-0.284755,42.815815,-0.120121,141.088287,47.187935,105.848869,175.711945,83.580620,-176.713867,137.565659,7.901239,257.972656
91,1.516667,-0.291067,42.816631,-0.115886,141.087723,47.188858,105.849503,175.705826,83.580215,-176.709549,137.562042,7.863327,257.989929
92,1.533333,-0.287067,42.806156,-0.109322,141.089050,47.186470,105.849411,175.673889,83.581352,-176.677856,137.572662,7.908380,257.956512
93,1.550000,-0.283836,42.808624,-0.116979,141.088852,47.187794,105.848648,175.681244,83.579628,-176.687363,137.554474,7.863988,257.990173
94,1.566667,-0.284084,42.812382,-0.119572,141.088623,47.187225,105.848656,175.683548,83.579575,-176.691727,137.563705,7.867173,257.984772
95,1.583333,-0.285710,42.807003,-0.119740,141.089371,47.186745,105.849457,175.361130,83.538673,-176.375290,137.569244,7.904375,257.963898
96,1.600000,-0.280128,42.813198,-0.119607,141.089005,47.186501,105.848503,175.356003,83.536026,-176.371933,137.565353,7.898867,257.965240
97,1.616667,-0.281994,42.813305,-0.118211,141.087967,47.187489,105.849098,174.755035,83.492249,-175.866455,137.558289,7.901573,257.961517
98,1.633333,-0.283940,42.809483,-0.112408,141.089539,47.185047,105.848526,174.735428,83.491959,-175.846542,137.553101,7.911073,257.956146
99,1.650000,-0.284602,42.817558,-0.121257,141.087585,47.187336,105.849365,174.734329,83.488808,-175.847397,137.550964,7.906747,257.955994
100,1.666667,-0.288580,42.815098,-0.114877,141.087891,47.188526,105.848885,177.256195,83.349213,-178.453400,137.552628,7.903266,257.951202
101,1.683333,-0.284084,42.805668,-0.116972,141.088547,47.187656,105.849289,177.256912,83.348930,-178.454346,137.555832,7.913612,257.949493
102,1.700000,-0.289148,42.814323,-0.115467,141.087708,47.189308,105.850151,177.250076,83.347923,-178.446075,137.561111,7.919538,257.955322
103,1.716667,-0.284493,42.812447,-0.115994,141.088242,47.187794,105.847916,177.250076,83.347923,-178.446075,137.561111,7.919538,257.955322
104,1.733333,-0.282743,42.807110,-0.119712,141.089081,47.186844,105.848740,177.218719,83.354973,-178.413300,137.570969,7.915020,257.958496
105,1.750000,-0.287340,42.812210,-0.114707,141.088562,47.188316,105.849220,-176.483414,-81.745834,2.099087,137.561310,7.882838,257.990814
106,1.766667,-0.285139,42.811600,-0.119795,141.088074,47.188473,105.849693,176.015396,83.540985,-176.901947,137.572479,7.932687,257.952484
107,1.783333,-0.285590,42.811722,-0.118046,141.088531,47.186844,105.849335,-179.368851,83.676414,-178.414032,137.556763,7.884818,257.997742
108,1.800000,-0.284385,42.815937,-0.122705,141.088516,47.187794,105.849075,-179.356750,83.675720,-178.425247,137.559555,7.904462,258.001190
109,1.816667,-0.290380,42.810402,-0.117124,141.087585,47.187122,105.848297,-179.190628,83.668686,-178.577515,137.560730,7.918447,258.009888
110,1.833333,-0.280157,42.815739,-0.118782,141.088577,47.187252,105.849518,178.257065,83.471672,-178.378311,137.572495,7.975686,257.993256
111,1.850000,-0.282270,42.815624,-0.123314,141.088242,47.187298,105.849586,178.252625,83.472702,-178.373169,137.576996,8.005894,258.010925
112,1.866667,-0.294202,42.808235,-0.116461,141.087143,47.190189,105.849365,178.241669,83.474976,-178.360687,137.571518,8.056092,258.027191
113,1.883333,-0.281506,42.810215,-0.117971,141.088593,47.187172,105.849098,177.949768,83.723755,-178.062180,137.568527,8.117723,258.044037
114,1.900000,-0.289171,42.817715,-0.114659,141.088181,47.188423,105.849243,178.486221,84.277283,-178.798645,137.560242,8.186150,258.072693
115,1.916667,-0.292495,42.811169,-0.116755,141.088455,47.189144,105.848953,178.489227,84.275955,-178.801987,137.545502,8.247876,258.140717
116,1.933333,-0.284218,42.808964,-0.119562,141.089706,47.186577,105.849144,-178.349197,85.022766,-179.207321,137.554855,8.394585,258.162598
117,1.950000,-0.288276,42.806885,-0.118268,141.088531,47.188118,105.848984,-173.979034,85.232140,176.786102,137.533371,8.521323,258.223694
118,1.966667,-0.289199,42.815098,-0.116699,141.088013,47.187775,105.848541,-174.853867,85.883095,177.744751,137.518936,8.679915,258.277832
119,1.983333,-0.281859,42.809963,-0.121591,141.088806,47.186653,105.849144,-174.775146,85.912422,177.662277,137.516479,8.877215,258.300385
120,2.000000,-0.289026,42.808075,-0.119440,141.088013,47.188831,105.849876,-171.029022,86.353279,172.535873,137.505402,9.070596,258.337952
121,2.016667,-0.287274,42.812805,-0.119302,141.087524,47.188759,105.848984,-171.035675,86.353439,172.542236,137.471771,9.194651,258.437897
122,2.033333,-0.279781,42.811092,-0.118379,141.089951,47.187752,105.849632,-171.047333,86.352448,172.552567,137.465958,9.418772,258.465424
123,2.050000,-0.283321,42.814037,-0.117634,141.088974,47.186726,105.848740,-171.055542,86.351265,172.559525,137.440460,9.602770,258.532654
124,2.066667,-0.281959,42.815369,-0.125588,141.088745,47.188713,105.849037,-175.987473,87.883301,172.515305,137.446289,9.902918,258.487274
125,2.083333,-0.285035,42.812424,-0.122524,141.089050,47.187351,105.849579,-171.351273,-76.140106,9.127837,137.411163,10.154681,258.502441
126,2.100000,-0.288543,42.804924,-0.110702,141.087799,47.188629,105.849434,-172.324646,-75.533943,7.879353,137.386200,10.366554,258.523071
127,2.116667,-0.287581,42.815022,-0.117714,141.088501,47.189320,105.849457,-167.207809,-75.686844,13.510015,137.345673,10.637074,258.567352
128,2.133333,-0.282996,42.807941,-0.119012,141.089111,47.186638,105.849060,-174.323792,-75.058601,8.099477,137.330597,10.820159,258.581238
129,2.150000,-0.283404,42.814949,-0.119310,141.088333,47.187149,105.848457,-169.190689,-75.044228,12.242961,137.325470,11.162960,258.528503
130,2.166667,-0.285772,42.814548,-0.118314,141.088333,47.188747,105.849167,-172.155701,-74.723633,9.412812,137.328415,11.438086,258.469849
131,2.183333,-0.287397,42.806229,-0.116865,141.090118,47.186974,105.849770,-174.938080,-74.540649,9.169037,137.329666,11.759400,258.398712
132,2.200000,-0.289145,42.813171,-0.117271,141.087692,47.188290,105.849731,-172.391068,-74.260620,10.100496,137.325363,12.026203,258.363373
133,2.216667,-0.289948,42.810448,-0.117022,141.087891,47.188774,105.849747,49.263065,89.218117,-50.109509,137.339676,12.266779,258.337219
134,2.233333,-0.284662,42.812477,-0.121484,141.089355,47.187298,105.849991,-170.644394,-73.912315,14.693781,137.343430,12.625223,258.212738
135,2.250000,-0.289768,42.812038,-0.117292,141.088303,47.188519,105.849495,64.538383,87.215851,-62.033184,137.324554,12.954627,258.110535
136,2.266667,-0.281736,42.811737,-0.112596,141.088058,47.188065,105.849335,64.534958,87.215889,-62.029736,137.350388,13.297391,257.988647
137,2.283333,-0.284491,42.813122,-0.112848,141.089767,47.186184,105.849220,53.116871,88.762184,-50.932968,137.370316,13.559355,257.906799
138,2.300000,-0.287474,42.809422,-0.114364,141.088028,47.187202,105.848679,56.485207,88.012756,-54.140320,137.394913,13.961143,257.744324
139,2.316667,-0.282060,42.817226,-0.120119,141.088348,47.188847,105.849792,56.489826,88.012520,-54.145107,137.466583,14.149566,257.706726
140,2.333333,-0.273332,42.806385,-0.121076,141.089172,47.187294,105.849396,56.487579,88.011909,-54.143291,137.480026,14.691793,257.465881
141,2.350000,-0.282515,42.815853,-0.121975,141.088882,47.186131,105.848625,55.132919,88.295525,-52.829292,137.542587,14.955648,257.402863
142,2.366667,-0.285510,42.812523,-0.119482,141.088348,47.187382,105.849541,64.805183,89.414848,-60.974895,137.559540,15.446035,257.180511
143,2.383333,-0.284948,42.810501,-0.117440,141.089935,47.186756,105.848885,-175.017822,-73.288216,10.443603,137.627716,15.779055,257.092712
144,2.400000,-0.288123,42.807480,-0.113090,141.087677,47.187901,105.850395,-29.941978,89.176353,35.782848,137.652176,16.216593,256.963745
145,2.416667,-0.289674,42.810307,-0.117371,141.088516,47.187668,105.849136,-29.953812,89.176537,35.794674,137.727386,16.642754,256.807404
146,2.433333,-0.286057,42.807259,-0.113626,141.089371,47.187340,105.849518,-32.146976,89.154854,28.877678,137.797958,17.003437,256.756866
147,2.450000,-0.289587,42.808510,-0.114655,141.088165,47.187889,105.849564,5.560168,89.118561,-7.782560,137.842957,17.555540,256.563019
148,2.466667,-0.284820,42.811558,-0.119894,141.088181,47.189087,105.849113,41.567024,87.563522,-35.925388,137.921753,17.851379,256.566223
149,2.483333,-0.292304,42.805988,-0.117137,141.088562,47.187065,105.849945,18.355320,88.820160,-18.176722,137.967575,18.437670,256.383087
150,2.500000,-0.292314,42.806458,-0.114607,141.088440,47.187504,105.848946,18.354565,88.820129,-18.175903,138.038849,18.909168,256.274780
151,2.516667,-0.289000,42.811283,-0.117423,141.088440,47.188370,105.849792,37.113037,87.745850,-31.770134,138.129639,19.263453,256.313721
152,2.533333,-0.284419,42.813541,-0.115965,141.089218,47.187187,105.850014,37.115566,87.745720,-31.772675,138.200012,19.728437,256.261017
153,2.550000,-0.282871,42.814365,-0.117871,141.088089,47.187836,105.848602,37.119492,87.745628,-31.776581,138.262360,20.243851,256.232117
154,2.566667,-0.284674,42.814957,-0.118536,141.087875,47.188438,105.848785,168.383881,-75.574753,-12.933787,138.338013,20.697004,256.245667
