frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
29,0.483333,176.863892,-42.808685,178.230682,209.411652,48.374447,166.341003,-176.820068,84.995934,177.291336,203.084381,7.748279,254.169647,89.774818,-6.084301,-0.970752,139.987595,46.235996,155.637009,85.189072,4.624103,1.685629,77.900490,80.273399,138.458206
30,0.500000,176.853333,-42.821007,178.226242,209.413193,48.372944,166.339020,-176.819870,84.995911,177.291107,203.087646,7.771715,254.153870,89.779404,-6.083393,-0.973949,139.987457,46.236362,155.637497,-96.637230,-4.396479,177.857300,77.923523,80.269081,138.417450
31,0.516667,176.855270,-42.829849,178.231323,209.412308,48.371441,166.337494,-176.818405,84.995834,177.289642,203.087402,7.806101,254.137848,89.779785,-6.083742,-0.974902,139.987717,46.235641,155.636932,85.191689,4.618102,1.677794,77.900566,80.274101,138.459488
32,0.533333,176.866394,-42.827599,178.238068,209.411865,48.371403,166.337128,-176.818771,84.995842,177.289993,203.086685,7.769039,254.160934,89.780479,-6.085386,-0.974170,139.987106,46.235577,155.636566,-96.643890,-4.396435,177.854965,77.922279,80.268288,138.416397
33,0.550000,176.868561,-42.825249,178.246307,209.411163,48.371769,166.338608,-176.817429,84.995728,177.288589,203.094864,7.814044,254.135483,89.776649,-6.089610,-0.977890,139.987885,46.236534,155.637222,85.195831,4.621070,1.678424,77.899849,80.273232,138.458359
34,0.566667,176.860153,-42.831104,178.239487,209.412888,48.370598,166.336868,-176.816040,84.995613,177.287170,203.094452,7.813898,254.134720,89.777763,-6.083313,-0.974414,139.987549,46.236263,155.636871,-96.639709,-4.394355,177.857681,77.921654,80.268555,138.416428
35,0.583333,176.864731,-42.826321,178.234863,209.413025,48.371826,166.338043,-176.815811,84.995605,177.286942,203.100372,7.835465,254.118820,89.783394,-6.081479,-0.972069,139.986908,46.236454,155.636841,85.196037,4.619261,1.676656,77.900574,80.273476,138.458801
36,0.600000,176.872421,-42.841114,178.264771,209.410065,48.370163,166.336517,-176.816833,84.995628,177.287949,203.098053,7.814269,254.128647,89.779358,-6.086107,-0.968741,139.986984,46.235950,155.637100,-96.638779,-4.404531,177.832733,77.923470,80.267555,138.413818
37,0.616667,176.862473,-42.836670,178.236404,209.413116,48.369640,166.337555,-176.815506,84.995522,177.286575,203.095383,7.814514,254.135971,89.780502,-6.083262,-0.973673,139.986923,46.235508,155.637070,85.193214,4.627264,1.695904,77.899643,80.270508,138.456009
38,0.633333,176.872147,-42.836823,178.262512,209.410568,48.369823,166.337006,-176.815247,84.995514,177.286316,203.099915,7.837007,254.119293,89.787247,-6.100053,-0.967119,139.986588,46.239071,155.635178,-96.641380,-4.394174,177.848297,77.922562,80.268402,138.416595
39,0.650000,176.885605,-42.843761,178.265686,209.411484,48.368973,166.335526,-176.815628,84.995529,177.286667,203.084869,7.771456,254.159592,89.782227,-6.083769,-0.972568,139.986908,46.235992,155.637115,85.202225,4.616498,1.675279,77.901741,80.274025,138.460800
40,0.666667,176.868347,-42.822933,178.234512,209.411911,48.373039,166.339005,-176.816681,84.995560,177.287704,203.096680,7.813684,254.128815,89.775925,-6.085760,-0.974967,139.987595,46.235714,155.636719,-96.640167,-4.392827,177.853271,77.923111,80.268745,138.417221
41,0.683333,176.853958,-42.813053,178.228287,209.412979,48.373951,166.340149,-176.815277,84.995453,177.286270,203.093765,7.814323,254.134796,89.776871,-6.084885,-0.973930,139.986435,46.236523,155.637283,85.190666,4.619370,1.678307,77.900520,80.272606,138.459076
42,0.700000,176.876678,-42.843979,178.269470,209.410309,48.368000,166.335449,-176.816238,84.995491,177.287216,203.097839,7.814570,254.128357,89.781609,-6.082898,-0.972341,139.987579,46.236584,155.637054,-96.648338,-4.395573,177.851303,77.922508,80.267334,138.415802
43,0.716667,176.871750,-42.821987,178.251907,209.411362,48.371601,166.339691,-176.815964,84.995468,177.286926,203.100006,7.837275,254.118378,89.774963,-6.085450,-0.974783,139.986984,46.236549,155.637024,85.184303,4.627224,1.685152,77.900162,80.272011,138.458130
44,0.733333,176.869339,-42.827301,178.240845,209.412598,48.371422,166.338211,-176.815735,84.995453,177.286682,203.088852,7.771614,254.153534,89.776184,-6.086056,-0.974485,139.986679,46.235962,155.637131,-96.634407,-4.397895,177.833603,77.922768,80.266098,138.414917
45,0.750000,176.870346,-42.831985,178.244278,209.412796,48.370701,166.337021,-176.814362,84.995346,177.285263,203.095291,7.814378,254.134918,89.775108,-6.083918,-0.971420,139.987076,46.236244,155.636322,85.199333,4.621700,1.693827,77.901947,80.272141,138.458206
46,0.766667,176.869659,-42.832848,178.267426,209.410141,48.369564,166.337280,-176.814270,84.995277,177.285126,203.092911,7.792567,254.145554,89.778061,-6.087008,-0.971670,139.986938,46.236820,155.637283,-96.641365,-4.391990,177.852356,77.922752,80.267456,138.416489
