Format Version,1.23,Take Name,OneMeterForward_013,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2023-05-31 10.50.37.064 AM,Capture Start Frame,11580522,Total Frames in Take,1286,Total Exported Frames,1286,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,spm,spm,spm,spm,spm,spm,cf,cf,cf,cf,cf,cf
,ID,"FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","FACDF9AEFF8D11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583","F54F36D2FF8F11EDF196A13ACAB86583"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
103,1.716667,-0.029740,-0.000922,0.063425,1.292722,1.349703,1.111775,-1.484793,-31.641384,-5.030788,1.272615,0.073650,2.365181
104,1.733333,-0.030544,0.000303,0.062773,1.292722,1.349701,1.111775,0.002870,-31.992836,-4.124440,1.272590,0.074169,2.366072
105,1.750000,-0.026015,0.001289,0.063808,1.292730,1.349706,1.111784,-1.520279,-31.461870,-5.139533,1.272427,0.073627,2.365034
106,1.766667,-0.032052,-0.000203,0.061964,1.292722,1.349707,1.111779,-2.316520,-31.443552,-5.605590,1.272449,0.073266,2.364913
107,1.783333,-0.030386,-0.001291,0.063379,1.292726,1.349710,1.111779,-2.405947,-31.421278,-5.679145,1.272441,0.073260,2.364902
108,1.800000,-0.029546,0.000752,0.063926,1.292732,1.349708,1.111783,-1.463297,-31.469893,-5.124546,1.272423,0.073642,2.365037
109,1.816667,-0.029891,-0.001578,0.061700,1.292717,1.349706,1.111774,-1.280277,-31.619480,-4.982566,1.272608,0.073607,2.365158
110,1.833333,-0.028783,0.001693,0.061820,1.292721,1.349703,1.111776,-2.409073,-31.404758,-5.735826,1.272446,0.073278,2.364916
111,1.850000,-0.026647,-0.000192,0.063718,1.292724,1.349708,1.111782,-1.531107,-31.477785,-5.127934,1.272420,0.073607,2.365027
112,1.866667,-0.017131,0.011544,0.055563,1.292708,1.349685,1.111760,-1.498699,-31.442801,-5.177798,1.272425,0.073637,2.365047
113,1.883333,0.898320,-4.021121,-179.917740,1.292689,1.349718,1.111807,-1.343237,-31.644810,-5.005072,1.272618,0.073643,2.365176
114,1.900000,-0.028863,-0.000780,0.061738,1.292721,1.349704,1.111783,-2.496392,-31.386621,-5.827012,1.272440,0.073274,2.364905
115,1.916667,-0.032337,0.001190,0.063597,1.292719,1.349701,1.111779,-1.541521,-31.616491,-5.129705,1.272611,0.073624,2.365168
116,1.933333,-0.027452,-0.000149,0.062709,1.292721,1.349699,1.111783,-1.641216,-31.572823,-5.228566,1.272614,0.073628,2.365178
117,1.950000,-0.025937,0.000896,0.062698,1.292726,1.349702,1.111787,-1.319219,-31.616892,-5.043890,1.272599,0.073621,2.365154
118,1.966667,-0.029571,-0.001303,0.063400,1.292725,1.349703,1.111780,-1.674112,-31.421028,-5.273233,1.272427,0.073617,2.365028
119,1.983333,-0.029928,0.000203,0.062417,1.292720,1.349703,1.111784,-2.262274,-31.416227,-5.628110,1.272444,0.073265,2.364906
120,2.000000,-0.026857,0.000708,0.064784,1.292728,1.349707,1.111793,-1.521206,-31.602575,-5.166098,1.272605,0.073624,2.365166
121,2.016667,-0.029375,-0.002227,0.064286,1.292722,1.349700,1.111785,-2.459102,-31.375420,-5.796109,1.272442,0.073271,2.364915
122,2.033333,-0.031419,-0.001205,0.063549,1.292724,1.349706,1.111785,0.064800,-32.007069,-4.047921,1.272588,0.074146,2.366066
123,2.050000,-0.028540,-0.001663,0.061825,1.292730,1.349711,1.111795,-1.323391,-31.686228,-4.931406,1.272596,0.073628,2.365168
124,2.066667,-0.049026,0.023034,0.046411,1.292697,1.349715,1.111810,0.126972,-31.973715,-4.124869,1.272591,0.074154,2.366067
125,2.083333,0.901093,-4.024541,-179.915619,1.292696,1.349718,1.111810,-1.310790,-31.615004,-5.008586,1.272609,0.073644,2.365178
126,2.100000,-0.025535,0.000067,0.064194,1.292730,1.349712,1.111789,0.035118,-31.993408,-4.164513,1.272589,0.074153,2.366068
127,2.116667,-0.030763,-0.000891,0.063431,1.292719,1.349696,1.111773,-1.331328,-31.454889,-5.119353,1.272429,0.073620,2.365031
128,2.133333,-0.033279,-0.003552,0.063766,1.292723,1.349704,1.111776,-2.520661,-31.380386,-5.783872,1.272436,0.073278,2.364918
129,2.150000,-0.043892,0.017325,0.050629,1.292696,1.349715,1.111806,-2.539399,-31.399879,-5.792799,1.272443,0.073286,2.364918
