frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
33,0.550000,-1.275463,-54.744801,0.000767,182.842606,50.172146,294.428650,176.044724,8.493441,-178.652679,75.988487,7.094944,225.336151,88.165909,-5.823991,-9.163048,103.466156,45.855042,155.428375,-87.518135,2.307372,-93.980080,11.287807,64.442558,221.375366
34,0.566667,-1.248483,-54.712490,0.019067,182.843887,50.173889,294.420929,176.044693,8.493457,-178.652710,75.988144,7.099497,225.335342,88.430191,4.489509,170.829376,103.379700,45.850735,155.544754,92.343231,-2.909133,-84.888809,11.566406,64.420547,221.432587
35,0.583333,-1.236172,-54.707073,0.036016,182.843369,50.174107,294.420746,176.044693,8.493468,-178.652740,75.987625,7.096934,225.335999,88.415825,4.501883,170.758484,103.379333,45.854126,155.542191,-87.509293,2.324652,-93.958664,11.285994,64.441780,221.375565
36,0.600000,-1.229021,-54.717113,0.045556,182.840286,50.174194,294.422760,176.044647,8.493475,-178.652771,75.988731,7.095373,225.335770,88.039047,-5.772974,-9.218172,103.466225,45.838345,155.421631,92.338905,-2.946512,-84.852539,11.573135,64.421753,221.432785
37,0.616667,-1.240196,-54.710419,0.029698,182.843735,50.174110,294.421173,176.044632,8.493491,-178.652786,75.989258,7.096231,225.335388,88.429359,4.477121,170.803253,103.381004,45.849236,155.542847,-87.509163,2.328220,-93.959045,11.284188,64.441292,221.375412
38,0.633333,-1.308150,-54.746887,-0.029893,182.843430,50.173111,294.429352,176.044601,8.493504,-178.652786,75.989792,7.097256,225.335434,88.121582,-5.799284,-9.186210,103.469574,45.856899,155.431885,92.345604,-2.920956,-84.859612,11.569773,64.422302,221.431732
39,0.650000,-1.263454,-54.739334,0.008258,182.841599,50.171928,294.428375,176.044571,8.493515,-178.652802,75.988441,7.094097,225.336594,88.428528,-6.001235,-8.858411,103.420998,45.874100,155.380753,-87.512260,2.341672,-93.961693,11.283828,64.442047,221.375519
40,0.666667,-1.436005,-54.672783,-0.123523,182.853928,50.183357,294.422424,176.044556,8.493527,-178.652832,75.988007,7.098556,225.335907,88.414536,4.504686,170.733749,103.375732,45.849644,155.537933,92.345467,-2.912229,-84.868164,11.569386,64.421425,221.432373
41,0.683333,-1.233207,-54.708767,0.033175,182.843918,50.174362,294.421021,176.044525,8.493538,-178.652847,75.988846,7.095730,225.336456,88.403030,4.510545,170.822433,103.375992,45.843643,155.539032,-87.510368,2.321650,-93.960045,11.286213,64.442429,221.375854
42,0.700000,-1.264477,-54.742367,0.010673,182.841690,50.171494,294.428284,176.044495,8.493548,-178.652878,75.987801,7.093024,225.336548,88.147682,-5.819740,-9.202864,103.467583,45.853565,155.429199,92.342133,-2.959481,-84.834702,11.573558,64.420860,221.432632
